"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/workspaces/vnet/Cargo.lock", "TOML", 0, 651, 2, 83, 736
"/workspaces/vnet/Cargo.toml", "TOML", 0, 14, 0, 1, 15
"/workspaces/vnet/src/arp.rs", "Rust", 16, 0, 0, 4, 20
"/workspaces/vnet/src/core.rs", "Rust", 125, 0, 1, 29, 155
"/workspaces/vnet/src/endpoint.rs", "Rust", 85, 0, 0, 21, 106
"/workspaces/vnet/src/format.rs", "Rust", 64, 0, 0, 11, 75
"/workspaces/vnet/src/l2.rs", "Rust", 210, 0, 12, 48, 270
"/workspaces/vnet/src/l3.rs", "Rust", 195, 0, 2, 35, 232
"/workspaces/vnet/src/lib.rs", "Rust", 12, 0, 0, 6, 18
"/workspaces/vnet/src/main.rs", "Rust", 16, 0, 0, 3, 19
"/workspaces/vnet/tests/core_tests.rs", "Rust", 28, 0, 0, 11, 39
"/workspaces/vnet/tests/l2_tests.rs", "Rust", 34, 0, 0, 12, 46
"/workspaces/vnet/tests/mod.rs", "Rust", 2, 0, 0, 1, 3
"Total", "-", 787, 665, 17, 265, 1734
