"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/workspaces/vnet/Cargo.lock", "TOML", 0, 185, 0, 22, 207
"/workspaces/vnet/Cargo.toml", "TOML", 0, 4, 0, 0, 4
"/workspaces/vnet/rustfmt.toml", "TOML", 0, 1, 0, 0, 1
"/workspaces/vnet/src/arp.rs", "Rust", 50, 0, 0, 7, 57
"/workspaces/vnet/src/core.rs", "Rust", 2, 0, 0, -2, 0
"/workspaces/vnet/src/endpoint.rs", "Rust", 5, 0, 0, 1, 6
"/workspaces/vnet/src/format.rs", "Rust", 0, 0, 0, 1, 1
"/workspaces/vnet/src/l2.rs", "Rust", 105, 0, 0, 17, 122
"/workspaces/vnet/src/l3.rs", "Rust", 242, 0, -15, 35, 262
"/workspaces/vnet/src/lib.rs", "Rust", 4, 0, 0, 2, 6
"/workspaces/vnet/src/mac_util.rs", "Rust", 0, 0, 0, 1, 1
"/workspaces/vnet/src/main.rs", "Rust", 35, 0, -27, -2, 6
"/workspaces/vnet/src/util.rs", "Rust", 13, 0, 0, 5, 18
"/workspaces/vnet/tests/arp_tests.rs", "Rust", 38, 0, 0, 9, 47
"Total", "-", 494, 190, -42, 96, 738
